Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Eu tenho uma tremenda quantidade de trabalho para terminar hoje.	HOJE EU TREMENDO TRABALHO QUANTIDADE TER TERMINAR
Nosso país está em crise.	PAÍS CRISE NOSSO
Não, não estou com ele.	ELE
Ela pratica digitação todos os dias.	TODOS OS DIAS ELE DIGITAÇÃO PRATICAR
Não brinque com seus sentimentos.	SENTIMENTOS SEU ELE BRINCAR (NÃO)
Eu também não posso.	EU PODER AINDA_{NÃO}(headshake)
Deve-se sempre fazer o possível.	SEMPRE POSSÍVEL FAZER ELE DEVER
Walt Whitman é meu poeta norte-americano favorito.	WALT WHITMAN NORTE AMERICANO FAVORITO POETA MEU
Virei se necessário.	EU VIR NECESSÁRIO
Ela superou a dificuldade.	ELE DIFICULDADE SUPERAR
Seu plano é construir uma ponte sobre esse rio.	PLANO SEU ESSE CONSTRUIR PONTE RIO
Está tudo de ponta-cabeça.	TUDO MULHER PONTA CABEÇA
A fome é a melhor cozinheira.	FOME MELHOR MULHER COZINHEIRO
Ele não ganha mais de cinquenta dólares por semana.	ELE DÓLAR MAIS 50 SEMANA GANHAR (NÃO)
Ele chegará em dez minutos.	ELE MINUTO 10 CHEGAR
Eu gosto dos sapatos pretos.	PRETOS EU SAPATOS GOSTAR
Fim de jogo.	FIM JOGO
Ele me convenceu de que não era culpa dele.	DELE EU CONVENCER CULPA DELE (NÃO)
Durante as férias de verão, conheci uma bela mulher.	MULHER FÉRIAS BELO VERÃO EU CONHECER
Posso viver sozinho, mas pelo menos não tenho de responder a ninguém.	SÓ VIVER EU PODER MAS NINGUÉM RESPONDER TER AINDA_{NÃO}(headshake)
Na última vez que fui à China visitei Xangai.	CHINA VEZ XANGAI VISITAR IR
Por favor, fale mais devagar.	DEVAGAR MAIS ELE FALIR
Todos ficaram realmente impressionados com aquela máquina.	REAL TODO AQUELE MÁQUINA IMPRESSIONAR ELES FICAR
Eu tenho um dicionário.	EU DICIONÁRIO TER
É um vinho excelente.	EXCELENTE VINHO
O menino está pulando.	MENINO PULAR
O cavalo está pulando.	CAVALO PULAR
A menina está pulando.	MULHER MENINO PULAR
O cachorro está pulando.	CACHORRO PULAR
Quem está lendo?	LER QUEM (NÃO)
Duas crianças estão sentadas na cerca.	CERCA CRIANÇA SENTAR
Isso é fácil.	ISSO FÁCIL
Isto é difícil.	ISTO É DIFÍCIL
O preço desta gravata é muito alto.	PREÇO ESTE ALTO GRAVATA
Prefiro aquele vestido a este.	AQUELE ESTE VESTIDO EU PREFERIR
Dê a senha.	DÊ SENHA
O que aconteceu para que você ria assim?	{ASSIM O VOCÊ RIR ACONTECER}(q)
Ela caiu e machucou o joelho.	ELE CAIR SÓ JOELHO ELE MACHUCAR
Seu nome é conhecido em todo o país.	PESSOA SEU TODO PAÍS CONHECER
"Quanto tempo durará a reunião?" "Duas horas."	QUANTO TEMPO REUNIÃO ELE DURAR HORA
O que você achou da minha casa?	{O VOCÊ CASA MEU ACHAR}(q)
Ela é famosa tanto no Japão quanto nos Estados Unidos.	QUANTO ELE JAPÃO FAMOSO ESTADOS UNIDOS TANTO
Sinto muito, mas não cabe a mim tomar uma decisão.	EU SENTIR MAS EU TOMAR DECISÃO CABER (NÃO)
Deviam tomar mais cuidado.	MAIS CUIDAR TOMAR ELES DEVER
Alguém está batendo à porta.	ALGUÉM PORTA BATER
Eles estão orgulhosos da filha.	ELES ORGULHOSOS MULHER FILHO
Parece ter acontecido um acidente.	ACIDENTE ACONTECER ELE PARECER
Meu canário foi morto por um gato.	CANÁRIO GATO MEU MATAR
Ele está possuído pela ambição de governar o mundo.	ELE AMBIÇÃO POSSUIR MUNDO GOVERNAR
Voltemos à terceira lição.	TERCEIRO LIÇÃO NÓS VOLTAR
Nada é mais importante que o tempo.	NADA IMPORTANTE TEMPO MAIS
A aspirina não tem nenhum efeito sobre a pressão arterial.	ARTERIAL ASPIRINA NENHUM EFEITO PRESSÃO NÃO_TER {NÃO}(headshake)
Tenho certeza de que vencerei o campeonato.	CERTEZA CAMPEONATO EU TER VENCER
Alimente o pássaro!	PÁSSARO
O bilhete custa cem euros.	BILHETE EURO 100 CUSTAR
Tenho medo de ursos.	MEDO URSOS EU TER
Você pode trazer quem quiser.	VOCÊ QUERER TRAZER PODER
Nos Estados Unidos, os ônibus escolares são amarelos.	ÔNIBUS AMARELOS ESTADOS UNIDOS
Isso não me surpreende.	ISSO EU SURPREENDER (NÃO)
Eu a vi limpando o quarto.	EU QUARTO A LIMPAR VER
Pode ser que ele me pague parte do dinheiro que me deve.	ELE EU PARTE EU PAGAR DINHEIRO PODER DEVER
É verdade.	VERDADE
No começo ele era tímido.	ELE TÍMIDO COMEÇO
Eis um dos alunos do meu pai.	EIS MEU 1 ALUNO PAI
Se eu fosse invisível, não teria de me vestir.	SE EU INVISÍVEL EU VESTIR FOSSAR NÃO_TER {NÃO}(headshake)
Por isso ele ficou nervoso.	ELE NERVOSO ISSO FICAR
Aquele edifício pode desmoronar a qualquer momento.	AQUELE EDIFÍCIO QUALQUER MOMENTO DESMORONAR PODER
Vou pegar um balde de água.	BALDE ÁGUA PEGAR
Toda a esperança foi perdida.	TODA A ESPERANÇA PERDER
Muitas luas orbitam ao redor de Saturno.	LUAS REDOR SATURNO MUITAS ORBITAR
O restante virá logo, logo.	LOGO RESTANTE LOGO VIR
Ontem a esta hora eu estava assistindo à TV.	ONTEM ESTE EU HORA TV ASSISTIR
Eu consegui encontrar a rua, mas não a casa dela.	EU MAS CASA RUA ELE ENCONTRAR CONSEGUIR (NÃO)
Ele descerá logo.	LOGO ELE DESCER
Não é da minha conta.	CONTA MEU (NÃO)
Eu me machuquei durante a aula de Educação Física.	EU AULA EU EDUCAÇÃO FÍSICA MACHUCAR
Eu tenho um gato e um cachorro. O gato é preto e o cachorro é branco.	EU GATO SÓ CACHORRO TER GATO PRETO SÓ CACHORRO BRANCO
O meu pai manteve contato conosco por meio de cartas e ligações telefônicas durante sua estada no exterior.	TELEFÔNICAS PAI MEU CONTATO CONOSCO MULHER LIGAÇÃO CARTAS SEU SÓ ESTADA EXTERIOR MANTER
Não sei que tipo de pessoa ele é.	ELE TIPO PESSOA NÃO_SABER {NÃO}(headshake)
A rosa é uma flor e a pomba é uma ave.	ROSA FLOR SÓ POMBA AVE
Você é professora.	VOCÊ MULHER PROFESSOR
Muitos alunos compraram o livro.	ALUNOS LIVRO MUITOS COMPRAR
Isso é tudo.	ISSO TUDO
Quanto dinheiro vocês querem?	VOCÊS DINHEIRO QUERER QUANTO (NÃO)
Atravessaremos o rio em um barco.	RIO BARCO NÓS ATRAVESSAR
Seu passaporte, por favor.	PASSAPORTE FAVOR SEU
O homem se perdeu na selva.	HOMEM SELVA ELE PERDER
No Japão, costuma-se pedir às visitas que tirem os sapatos antes de entrar em uma casa.	ANTES JAPÃO VISITAS SAPATOS ENTRAR CASA PEDIR COSTUMAR TIRAR
Este é o computador que ele usou para escrever o artigo.	ESTE COMPUTADOR ELE ARTIGO ESCREVER USAR
George Bush tirou férias com a esposa.	GEORGE BUSH FÉRIAS MULHER ESPOSO TIRAR
Qual é seu animal de estimação?	ESTIMAÇÃO ANIMAL SEU QUAL (NÃO)
Há gente vivendo em toda parte do mundo.	TODO GENTE PARTE MUNDO VIVER HAVER
Isto é um mapa.	ISTO É MAPA
O filho o segue aonde quer que ele vá.	AONDE FILHO ELE QUERER IR O SEGUIR
Ontem fui ao parque.	ONTEM PARQUE EU IR
Dirija com mais cuidado ou vai sofrer um acidente.	MAIS CUIDAR ELE DIRIGIR OU ACIDENTE SOFRER
Você parou de bater na sua mulher?	{VOCÊ MULHER SEU BATER PARAR}(q)
Vocês não se entediam quando estão sozinhos?	VOCÊS SOZINHOS ENTEDIAR QUANDO (NÃO)
Queria um suco de laranja.	SUCO LARANJA ELE QUERER
Os índios deram comida aos colonizadores.	ÍNDIOS COLONIZADORES DAR
O novo plano funcionou bem.	BEM NOVO PLANO FUNCIONAR
Augusto é o meu filho mais adorado.	AUGUSTO FILHO MEU MAIS ADORAR
Recebi uma carta de um amigo.	CARTA AMIGO EU RECEBER
Você gosta de elefantes.	VOCÊ ELEFANTES GOSTAR
Eu me sentei ao lado dele.	EU EU DELE SENTAR
A natação é algo de que gosto muito.	NATAÇÃO ALGO GOSTAR
Até um professor pode cometer erros.	PROFESSOR ERROS COMETER ELE PODER
Há um esquema para aumentar a empresa.	ESQUEMA EMPRESA HAVER AUMENTAR
O trabalhador, via de regra, trabalha oito horas por dia.	VER TRABALHADOR 8 REGRA HORA DIA VER TRABALHAR
Não comi nada além de pão e manteiga.	NADA PÃO SÓ MANTEIGA EU COMER (NÃO)
A maioria dos violões tem seis cordas.	MAIORIA VIOLÃO 6 CORDA TER
Eu não sabia que ela estava mal.	MAL ELE EU NÃO_SABER {NÃO}(headshake)
Parece que o Tom ganhou a corrida.	TOM CORRIDA GANHAR PARECER
Tive de pagar uns cem euros pelo meu computador.	UM EURO COMPUTADOR MEU 100 PAGAR EU TER
A garota é enfermeira.	MULHER GAROTO ENFERMEIRO
Lucy gosta de jogar tênis.	LUCY TÊNIS JOGAR GOSTAR
Ele é americano.	ELE AMERICANO
De que você gosta mais: chá ou café?	{VOCÊ CHÁ OU CAFÉ MAIS GOSTAR}(q)
Por que você está no banheiro?	{VOCÊ BANHEIRO}(q)
Assisti à reunião ontem.	ONTEM REUNIÃO EU ASSISTIR
Você quer minha foto?	{VOCÊ FOTO MEU QUERER}(q)
Ele não entendeu a piada.	ELE PIADA ENTENDER (NÃO)
Logo você vai ser capaz de falar inglês.	LOGO CAPAZ INGLÊS FALAR
Os telefones não funcionam.	TELEFONES FUNCIONAR (NÃO)
O último exame foi bem difícil.	BEM EXAME DIFÍCIL IR
Não entendo o significado desta palavra.	ESTE SIGNIFICADO PALAVRA EU ENTENDER (NÃO)
O homem escova os dentes.	HOMEM DENTES ELE ESCOVAR
Você tem alguma ideia de quem ele é?	VOCÊ ALGUM ELE PENSAR TER QUEM (NÃO)
Para onde vai esse trem?	{ONDE ESSE TREM ELE IR}(q)
Ele pôs a mão no meu ombro.	ELE MÃO OMBRO MEU PÔR
Eu não finjo amá-lo.	EU AMAR FINGIR (NÃO)
Tenho certeza de que ele virá.	ELE CERTEZA TER VIR
O pneu está um pouco murcho.	PNEU UM POUCO MURCHO
Eu tenho muito amor por você.	EU AMOR VOCÊ TER
Você vai sair amanhã?	{AMANHÃ VOCÊ SAIR}(q)
Estar doente é muito chato.	DOENTE CHATO SER
Aquele livro é pequeno.	AQUELE LIVRO PEQUENO
Gostaria de pagar com cartão de crédito.	CARTÃO PAGAR ELE GOSTAR
Não quero ver seus rostos.	ROSTOS SEU VER EU NÃO_QUERER {NÃO}(headshake)
Ela é nossa vizinha.	ELE MULHER VIZINHO NOSSO
Ele é três anos mais novo que o papai.	ELE 3 ANO NOVO PAPAI MAIS
Aquilo foi uma mentira.	AQUILO MENTIRA IR
Possuir intelecto é o que nos diferencia dos animais selvagens.	O ANIMAIS SELVAGENS INTELECTO NÓS DIFERENCIAR
Venha cá e junte-se a nós.	CÁ EU VIR SÓ NÓS JUNTAR
Quem pode garantir seu sucesso?	SUCESSO SEU GARANTIR PODER QUEM (NÃO)
O festival chegou ao fim.	FESTIVAL FIM CHEGAR
Agora que sou professor, penso de outra forma.	AGORA QUE PROFESSOR OUTRO FORMA
Você é muito valente.	VOCÊ VALENTE
Ele me deixou uma hora esperando.	ELE HORA EU DEIXAR ESPERAR
Aquele país tem recursos naturais.	NATURAIS AQUELE PAÍS RECURSOS TER
Ele admitiu ter cometido o crime.	ELE CRIME COMETER ADMITIR
Ele é um homem muito modesto.	ELE HOMEM MODESTO
Estava ocupado ontem.	ONTEM
Olhe aquele edifício. É um templo?	{AQUELE EDIFÍCIO ELE OLHAR TEMPLO}(q)
Você sabe onde ela está?	VOCÊ ELE SABER ESPERA AÍ (NÃO)
Se ele não tivesse perdido tempo, já teria terminado.	JÁ ELE PERDER TEMPO TERMINAR (NÃO)
Eu não o vejo há anos.	EU O HAVER ANOS VER (NÃO)
Ele é tão inteligente quanto qualquer outro menino da classe.	TÃO ELE QUALQUER OUTRO MENINO INTELIGENTE QUANTO CLASSE
Ele tenta.	ELE TENTAR
Você deve estar brincando.	VOCÊ BRINCAR DEVER
O menino era excepcionalmente inteligente.	EXCEPCIONAL MENINO INTELIGENTE
Choveu durante três dias seguidos.	DIA 3 ELE CHOVER SEGUIR
Costumávamos falar sobre o nosso futuro.	FUTURO NOSSO FALAR NÓS COSTUMAR
Você me dá a receita da sua salada?	{VOCÊ SALADA SEU EU RECEITA DAR}(q)
É isso.	ISSO
Eu tentarei pegar a bola sem que ele note.	EU NOTAR BOLA ELE PEGAR TENTAR
O ouro é mais pesado que o ferro.	OURO FERRO PESAR
Eu lhe pedirei um táxi.	EU TÁXI LHE PEDIR
Por favor, volte em três dias.	VOLTE DIA 3
Ele nunca fala a menos que falem com ele.	DELE MENOS FALAR FALIR NUNCA NÃO
Não me deixe sozinho.	EU SÓ DEIXAR (NÃO)
Ela gosta de escutar música.	ELE MÚSICA ESCUTAR GOSTAR
Seja você mesmo!	MESMO VOCÊ
Este livro é velho.	ESTE LIVRO VELHO
Ela tem algo na mão.	ELE ALGO MÃO TER
E o amarelo?	{SÓ AMARELO}(q)
Ela se levanta às sete.	ELE 7 LEVANTAR
Cedo ou tarde, ele me contará tudo.	CEDO OU TARDE ELE EU TUDO CONTAR
Ela tem um rosto muito bonito.	BONITO ELE ROSTO TER
Só há um filho lindo no mundo, e todas as mães o têm.	SÓ LINDO MUNDO FILHO HAVER SÓ TODAS AS MÃES O TER
Por que você foi lá?	{LÁ VOCÊ IR}(q)
Nem todos ficaram satisfeitos.	NEM TODO SATISFAZER ELES FICAR
Desculpe incomodá-lo, mas o senhor poderia me indicar o caminho à estação?	{ELE DESCULPAR INCOMODAR MAS EU SENHOR CAMINHO ESTAÇÃO INDICAR PODER}(q)
Onde está?	ESPERA AÍ (NÃO)
O trabalho foi muito difícil.	TRABALHO DIFÍCIL TER MUITO
Ele tentou se levantar.	ELE LEVANTAR TENTAR
A sua filha não é mais uma criança.	MULHER FILHO SEU CRIANÇA MAIS (NÃO)
Está com um cheiro delicioso.	DELICIOSO CHEIRO
Ele diz que não virá.	ELE DIZER VIR (NÃO)
Cristóvão Colombo descobriu a América.	CRISTÓVÃO COLOMBO AMÉRICA DESCOBRIR
"Michael" é nome de homem, mas "Michelle" é nome de mulher.	MICHAEL PESSOA HOMEM MAS MICHELLE MULHER
O quadro da parede foi pintado por Picasso.	QUADRO PAREDE PICASSO PINTAR
Eu o conheci em janeiro.	EU O JANEIRO CONHECER
Ele fez exatamente o que eu disse que fizesse.	EXATAMENTE ELE EU O FAZER FAZER DIZER
As minhas mãos e pés estavam frios como o gelo.	MÃOS MEU SÓ PÉS FRIOS COMO GELO
Eu conheço uma garota que está sempre sorrindo.	SEMPRE EU MULHER GAROTO CONHECER SORRIR
Leia os livros que considera apropriados.	LIVRO LER APROPRIAR CONSIDERAR
O perdão é o maior presente.	PERDÃO PRESENTE MAIOR
Roupa preta absorve luz.	PRETO LUZ ROUPA ABSORVER
Pergunte-me qualquer coisa.	QUALQUER COISA
Pediram-lhe que saísse com ele.	ELE SAIR DELE PEDIR
Este homem está morto.	ESTE HOMEM MATAR
Até logo.	ATÉ LOGO
O nosso professor nos passou muito dever de casa.	PROFESSOR NOSSO CASA DEVER PASSADO
Ela me disse: "Vou sair para comprar biscoitos."	ELE EU COMPRAR BISCOITOS SAIR DIZER
Há um pouco de açúcar na sacola.	AÇÚCAR UM POUCO SACOLA HAVER
Nós nos tornamos amigos deles.	NÓS NÓS ELES AMIGOS
Tudo bem às nove?	{BEM TUDO 9}(q)
Estamos na era da energia nuclear.	NUCLEAR ENERGIA EU SER
Eu conheço esta menina.	EU ESTE MULHER MENINO CONHECER
Esse lugar está ocupado.	ESSE LUGAR OCUPAR
Seu partido recebeu a maioria dos votos na eleição.	PARTIDO MAIORIA VOTOS ELEIÇÃO SEU RECEBER
Então você também fala inglês?	{ENTÃO VOCÊ INGLÊS TAMBÉM FALAR}(q)
Eu sou médico. E você?	{EU MÉDICO SÓ VOCÊ}(q)
Você não gosta de gatos?	{VOCÊ GATOS GOSTAR NÃO}(q)
Você não odeia cães?	{VOCÊ CÃES ODIAR NÃO}(q)
Será que eu me engano ao dizer que você estuda espanhol como eu?	{EU QUE VOCÊ ENGANAR EU ESPANHOL EU ESTUDAR COMO}(q)
É interessante que você fale francês. Eu também o falo.	INTERESSANTE VOCÊ FALAR FRANCÊS EU FALO
Desculpe. Não estou conseguindo acompanhar.	ELE DESCULPAR ACOMPANHAR CONSEGUIR (NÃO)
Infelizmente, não sei do que você está falando.	INFELIZ DO QUE VOCÊ FALAR NÃO_SABER {NÃO}(headshake)
Eu não falo árabe muito bem.	BEM ÁRABE EU FALAR (NÃO)
Eu nunca fui bom em tocar piano.	EU BOM TOCAR IR
Não estou muito por dentro das últimas tendências da informática.	DENTRO ÚLTIMO TENDÊNCIAS INFORMÁTICA (NÃO)
Realmente não sei muito sobre isso.	ISSO EU SABER AINDA_{NÃO}(headshake)
Talvez você possa esclarecer para mim.	TALVEZ VOCÊ EU ESCLARECER PODER
Talvez você pudesse me colocar por dentro.	TALVEZ VOCÊ DENTRO EU COLOCAR PODER
Mas eu gostaria de saber mais.	MAS EU MAIS SABER GOSTAR
Você está perguntando à pessoa errada.	VOCÊ PESSOA PERGUNTAR ERRAR
Isso está fora da minha especialidade.	ISSO ESPECIALIDADE MEU
Ele é o homem que você conheceu outro dia.	ELE HOMEM VOCÊ OUTRO DIA CONHECER
Eu estava tentando matar o tempo.	EU TEMPO MATAR TENTAR
Estou falando sério.	SÉRIO FALAR
Eu falo sério quando digo que te amo.	SÉRIO EU FALAR QUANDO TU AMAR DIZER
Falo com toda a sinceridade.	FALO SINCERIDADE TODA A
Estou sendo sincero quando digo que te amo.	SINCERO QUANDO TU AMAR DIZER
Estou exausto do trabalho.	EXAUSTO TRABALHO
Eu não gosto muito de falar sobre isso, mas eu te amo.	EU FALAR ISSO GOSTAR NÃO MAS EU AMAR TU (NÃO)
Espero que você não se importe com o que eu vou dizer, mas você sabe que eu te amo.	VOCÊ EU IMPORTAR O ESPERAR DIZER MAS VOCÊ QUE EU SABER AMAR TU (NÃO)
Posso perguntar por que você saiu ontem?	{ONTEM VOCÊ SAIR PERGUNTAR PODER}(q)
Não precisamos falar sobre isso agora.	AGORA ISSO FALAR NÓS PRECISAR (NÃO)
Pode ser que eu esteja errado.	EU PODER ERRAR ESTAR
Não sou muito entendido.	ENTENDER
É o que as pessoas dizem.	O PESSOA DIZER
Não diga que fui eu quem disse.	QUEM EU DIZER IR DIZER (NÃO)
Não sei ao certo.	AO CERTO EU NÃO_SABER {NÃO}(headshake)
Não dá para afirmar com certeza.	AFIRMAR CERTEZA ELE DAR (NÃO)
É claro que essa é apenas a minha opinião.	CLARO ESSA OPINIÃO MEU APENAS SER
Farei isto imediatamente.	IMEDIATO ELE EU FAZER
Amanhã você já o terá.	AMANHÃ VOCÊ JÁ O TER
É rapidinho.	RAPIDINHO
Sem problemas.	PROBLEMA
Tá, e o que eu ganho com isso?	{TÁ SÓ O EU ISSO GANHAR}(q)
E eu ganho o quê?	SÓ EU GANHAR QUÊ (NÃO)
Vou ver o que eu posso fazer.	EU O VER FAZER PODER
Vou fazer o possível.	POSSÍVEL FAZER
Infelizmente, agora não dá.	INFELIZ ELE DAR AINDA_{NÃO}(headshake)
Estou meio ocupado no momento.	MEIO MOMENTO
Você se importa se eu fizer isso mais tarde?	{TARDE VOCÊ SE EU FAZER ISSO MAIS IMPORTAR}(q)
É para quando?	QUANDO
Estou meio ocupado estes dias.	MEIO ESTE DIAS
Bem que eu queria te ajudar.	BEM EU QUERER AJUDAR
Estava pensando: será que é possível você entregar isso hoje?	{HOJE VOCÊ PENSAR POSSÍVEL ENTREGAR ISSO}(q)
Preciso lhe pedir um favorzinho.	FAVOR PEQUENO LHE PEDIR PRECISAR
Se não puder, tudo bem.	BEM SE TUDO EU PODER (NÃO)
Meu cachorro late o tempo todo.	CACHORRO MEU TODO TEMPO LATER
Não quero atrapalhar.	ATRAPALHAR EU NÃO_QUERER {NÃO}(headshake)
Você tem certeza de que não tem problema?	VOCÊ CERTEZA PROBLEMA TER NÃO_TER (NÃO)
Ah, claro.	AH CLARO
É um prazer.	PRAZER
Para que servem os amigos?	{AMIGOS ELES SERVIR}(q)
Que é isso? É o mínimo que eu posso fazer.	{ISSO MÍNIMO EU PODER FAZER}(q)
Não se preocupe com isso.	ISSO ELE PREOCUPAR (NÃO)
Não é incômodo nenhum. Sério.	NENHUM INCÔMODO SÉRIO (NÃO)
Seria um prazer.	PRAZER
Olha, sabe de uma coisa?	{OLHA COISA SABER}(q)
Me desculpe, mas eu não posso.	EU DESCULPAR MAS EU PODER (NÃO)
Bem que eu gostaria de ajudar.	BEM EU AJUDAR GOSTAR
Sinto muito por aquilo.	AQUILO EU SENTIR
Poderíamos nos encontrar algum dia e almoçar juntos.	ALGUM DIA ENCONTRAR NÓS PODER SÓ JUNTOS ALMOÇAR
Você gosta de pescar? Talvez pudéssemos ir juntos algum dia.	{VOCÊ PESCAR GOSTAR TALVEZ ALGUM JUNTOS DIA IR NÓS PODER}(q)
Eu terei de ver como está a minha agenda.	EU AGENDA MEU COMO VER TER
Eu terei de consultar a minha agenda.	EU AGENDA MEU CONSULTAR TER
Vamos ver como ficam as coisas.	COMO COISAS ELES FICAR VER
Parece uma boa ideia.	BOM PENSAR ELE PARECER
E se eu te ligar?	{SÓ SE EU LIGAR}(q)
Me ligue mais tarde, tudo bem?	{TARDE EU MAIS TUDO BEM LIGAR}(q)
Deixe-me pensar.	EU PENSAR DEIXAR
Deixe-me consultar a minha agenda.	AGENDA MEU EU CONSULTAR DEIXAR
Era preciso tomar uma decisão.	PRECISO DECISÃO
Esse foi o único jeito.	ESSE UNICO JEITO IR
Parecia ser o melhor modo de proceder.	MELHOR MODO ELE PARECER PROCEDER
O que você acha disso?	{O VOCÊ ISSO ACHAR}(q)
Eu gostaria de ouvir o que você tem a dizer sobre isso.	EU VOCÊ ISSO O OUVIR GOSTAR DIZER TER
Vocês concordam?	{VOCÊS CONCORDAR}(q)
Eu não sei. O que você acha?	{EU NÃO_SABER O VOCÊ ACHAR}(q)
Os gatos enxergam no escuro?	{GATOS ESCURO ENXERGAR}(q)
Isso é tudo o que você tem?	{ISSO VOCÊ TER}(q)
Sirva-se, por favor.	FAVOR ELE SERVIR
Eu acho que o Japão é um país muito seguro.	EU JAPÃO ACHAR SEGURO PAÍS
Ele não conhece nenhum de seus dois irmãos.	ELE SEU NENHUM 2 IRMÃO CONHECER (NÃO)
Eu nunca me esqueço de um rosto, mas no seu caso abrirei com gosto uma exceção.	EU EU ESQUECER NUNCA NÃO MAS CASO GOSTO EXCEÇÃO SEU EU ABRIR
Eu te vejo na estação amanhã.	AMANHÃ EU VER ESTAÇÃO TU
Ele não gosta do diretor.	ELE DIRETOR GOSTAR (NÃO)
Ele disse à mãe que estudaria no dia seguinte.	ELE DIZER MÃE DIA SEGUINTE ESTUDAR
Ele é grande o bastante para viajar sozinho.	ELE GRANDE O BASTANTE VIAJAR SÓ
Você já esteve em Quioto?	{JÁ VOCÊ QUIOTO}(q)
Obrigado por mencionar isso.	ISSO MENCIONAR CONTROLAR
Você tem uma boa ideia.	BOM VOCÊ PENSAR TER
Interessante.	INTERESSANTE
Eu tenho a impressão de que a felicidade está cada vez mais distante.	CADA VEZ MAIS EU FELICIDADE DISTANTE IMPRESSÃO TER
O teatro estava lotado demais.	DEMAIS TEATRO
É muita informação para abordar!	INFORMAÇÃO MUITA ABORDAR
Você precisa remendar a sua roupa.	VOCÊ ROUPA SEU REMENDAR PRECISAR
Eu não tenho palavras para dizer o quanto eu te amo.	EU EU PALAVRAS QUANTO DIZER TU NÃO_TER {NÃO}(headshake)
Você sabe o quanto eu admiro a sua habilidade.	VOCÊ EU HABILIDADE SEU ADMIRAR SABER
Estou feliz em trabalhar com você.	FELIZ TRABALHAR VOCÊ
Eu não sei o que seria de nós sem você.	O EU NÓS VOCÊ NÃO_SABER {NÃO}(headshake)
O seu papel aqui é tão importante!	AQUI PAPEL SEU TÃO IMPORTANTE
Por que não formamos um grupo de estudos?	{GRUPO ESTUDOS NÓS FORMAR NÃO}(q)
Eu fiquei sabendo que você ganhou. Parabéns!	EU VOCÊ GANHAR SABER FICAR PARABÉNS
Estou muito feliz pelo seu pai.	SEU FELIZ PAI
O passeio está indo bem?	{BEM PASSEIO IR}(q)
Aliás, parabéns pela sua vitória!	ALIÁS SEU VITÓRIA
Você toca violão muito melhor do que eu.	MELHOR DO QUE VOCÊ VIOLÃO EU TOCAR
Eu queria poder cantar como você.	EU VOCÊ COMO PODER CANTAR QUERER
Como é que você desenha tão bem? Eu nunca consegui.	BEM VOCÊ TÃO DESENHAR COMO EU CONSEGUIR (NÃO)
Você escreve tão bem! Eu sou terrível.	TÃO VOCÊ BEM ESCREVER EU TERRÍVEL
Vocês concordam que deveríamos ir embora agora?	{AGORA VOCÊS EMBORA DEVER IR CONCORDAR}(q)
Um navio transatlântico cruza o oceano.	TRANSATLÂNTICO NAVIO OCEANO CRUZAR
No ano passado, havia uma menina brasileira em minha sala.	PASSADO BRASILEIRO ANO MULHER MENINO SALA MEU PASSADO HAVER
A minha permanência lhe apresenta algum problema?	{PERMANÊNCIA MEU ALGUM LHE PROBLEMA APRESENTAR}(q)
Você se importa se eu sair por uns minutos?	{VOCÊ EU UM MINUTOS SAIR IMPORTAR}(q)
Eu não sei se você se lembra de mim.	SE VOCÊ EU LEMBRAR EU NÃO_SABER {NÃO}(headshake)
Eu gostei muito da nossa conversa sobre política.	EU CONVERSA NOSSO POLÍTICA GOSTAR
Você mencionou algo sobre minha mãe.	VOCÊ MÃE MEU ALGO MENCIONAR
Eu achei fascinante o que você disse sobre aquecimento global.	FASCINANTE EU VOCÊ O GLOBAL AQUECIMENTO ACHAR DIZER
Nós tivemos uma breve discussão sobre direitos humanos.	BREVE HUMANOS NÓS DISCUSSÃO DIREITOS TER
Eu preciso admitir que você tem razão.	EU PRECISO VOCÊ RAZÃO TER ADMITIR
A minha matemática está um pouco enferrujada.	MATEMÁTICA MEU UM POUCO ENFERRUJAR
Eu não tenho nenhuma informação a respeito desse assunto.	EU NENHUM RESPEITO INFORMAÇÃO ASSUNTO NÃO_TER {NÃO}(headshake)
Esse é um assunto do qual eu não sei nada.	ASSUNTO EU ESSE NADA NÃO_SABER {NÃO}(headshake)
Eu admito a minha ignorância.	EU IGNORÂNCIA MEU ADMITIR
Às vezes uma escada é sinal de azar.	ÀS VEZES ESCADA SINAL AZAR
O carro está em frente à garagem.	CARRO FRENTE GARAGEM
Eu não estou familiarizado com isso.	EU FAMILIARIZAR ISSO (NÃO)
Eu não me lembro de ter ouvido falar dela.	EU EU ELE OUVIR FALAR LEMBRAR (NÃO)
Eu tenho uma vaga lembrança disso.	VAGO EU LEMBRANÇA ISSO TER
Eu não estou muito por dentro das novas tecnologias.	DENTRO EU NOVAS TECNOLOGIAS (NÃO)
Eu acho que já ouvi falar dele em algum lugar.	JÁ EU ALGUM OUVIR LUGAR DELE FALAR ACHAR
Você nunca ouviu falar do Rio de Janeiro?	{VOCÊ FALAR OUVIR NUNCA NÃO}(q)
De qualquer forma, não pretendo tomar mais o seu tempo.	QUALQUER FORMA SEU TEMPO MAIS TOMAR EU PRETENDER (NÃO)
Ela estava no clube às oito.	ELE CLUBE 8
As crianças vão à praia hoje.	HOJE CRIANÇAS PRAIA IR
As crianças estão falando com os pais neste momento.	CRIANÇAS ESTE PAIS MOMENTO FALAR
