Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Stephen viaja mais do que o chefe dele.	DT(S-T-E-P-H-E-N) DO QUE CHEFE MAIS DELE VIAJAR
Mary é menos ativa do que a irmã dela.	DT(M-A-R-Y) ATIVO DO QUE MULHER IRMÃO
Ela não fala inglês tão fluentemente quanto você.	FLUENTE QUANTO INGLÊS TÃO VOCÊ FALAR (NÃO)
Esse tapete vale mais do que aquele outro.	TAPETE AQUELE ESSE MAIS DO QUE OUTRO VALER
Normalmente eles chegam em casa mais tarde do que nós.	NORMAL DO QUE ELES TARDE NÓS CASA MAIS CHEGAR
Philip é mais bonito do que você.	DT(P-H-I-L-I-P) BONITO MAIS DO QUE VOCÊ
Sua bicicleta é melhor do que a minha.	SEU BICICLETA MELHOR DO QUE MEU
Sua bicicleta é parecida com a minha.	SEU BICICLETA MEU PARECER
Seu plano parece ser melhor que o meu.	PLANO SEU PARECER MELHOR MEU
Sua opinião é parecida com a minha.	SEU OPINIÃO MEU PARECER
Sua caneta é melhor do que a minha.	SEU CANETA MELHOR DO QUE MEU
Sua cadeira é parecida com a minha.	SEU CADEIRA MEU PARECER
O seu time é melhor do que o nosso.	TIME MELHOR SEU DO QUE NOSSO
O ouro é mais precioso do que o ferro.	OURO PRECIOSO MAIS DO QUE FERRO
Ouro é bem mais pesado do que água.	BEM OURO MAIS PESAR DO QUE ÁGUA
O que é mais pesado, chumbo ou ouro?	{O CHUMBO OU OURO MAIS PESAR}(q)
Qual é o mais pesado, o chumbo ou o ouro?	{MAIS CHUMBO PESAR OU OURO QUAL}(q)
Jane é mais bonita do que Susan.	DT(J-A-N-E) BONITO MAIS DO QUE DT(S-U-S-A-N)
Eu gosto mais de café do que de chá.	EU CAFÉ CHÁ MAIS GOSTAR
Eu sou mais bonito do que você.	EU BONITO MAIS DO QUE VOCÊ
Eu sou mais bonito que vocês.	EU BONITO MAIS VOCÊS
Quem corre mais rápido? Yumi ou Keiko?	{RÁPIDO MAIS CORRER QUEM DT(K-E-I-K-O) DT(Y-U-M-I) OU}(q)
Tom é da mesma altura de Jim.	DT(T-O-M) MESMA ALTURA DT(J-I-M)
Nancy parece a minha irmã.	DT(N-A-N-C-Y) MULHER IRMÃO MEU PARECER
Eu te darei qualquer coisa menos isto.	ELE EU QUALQUER TU COISA MENOS DAR
Tenho dois livros.	LIVRO 2 EU TER
O que você achou do filme?	{O VOCÊ FILME ACHAR}(q)
Eu vou tomar banho.	EU BANHO TOMAR
Vamos sair antes de ficar mais quente.	ANTES QUENTE MAIS SAIR
Você pode escolher o que quiser.	VOCÊ O ESCOLHER PODER QUERER
Você pode escolher qualquer um que quiser.	VOCÊ QUALQUER UM ESCOLHER PODER QUERER
Ele decidiu usar uma nova política.	ELE POLÍTICA NOVO USAR DECIDIR
Eu te darei tudo menos isso.	EU TUDO ISSO TU DAR
Eles nem sempre obedecem os pais.	ELES NEM SEMPRE PAIS OBEDECER
Vou esperar aqui até que ela chegue.	AQUI ATÉ CHEGAR ESPERAR
Vou esperar aqui até ela vir.	AQUI ESPERAR
Você pode escolher qualquer um.	VOCÊ QUALQUER ESCOLHER PODER
Você pode escolher qualquer um deles.	VOCÊ QUALQUER ELES ESCOLHER PODER
Você pode escolher qualquer uma delas.	VOCÊ QUALQUER ELAS ESCOLHER PODER
Você também pode vir comigo.	TAMBÉM VOCÊ COMIGO VIR PODER
A faca não é afiada.	FACA AFIAR (NÃO)
O rei governava o país.	REI PAÍS ELE GOVERNAR
O rei abusava de seu poder.	REI PODER SEU ELE ABUSAR
Os Jones amam sua filha.	JONES MULHER FILHO SEU AMAR
O jato pousou em Tóquio.	JATO TÓQUIO POUSAR
Os japoneses têm olhos escuros.	ESCURO JAPONESES OLHO TER
O casamento deles será amanhã.	AMANHÃ CASAMENTO ELES
O casamento deles vai ser amanhã.	AMANHÃ CASAMENTO ELES
Minha irmã se casou com um amigo do segundo grau.	DOIS MULHER IRMÃO AMIGO GRAU MEU CASAR
A casa deles está sendo reformada.	CASA ELES REFORMAR
A casa delas está sendo reformada.	CASA ELAS REFORMAR
Todo o gado deles está gordo.	TODO GADO ELES GORDO
O filho deles era chamado Edward.	FILHO ELES DT(E-D-W-A-R-D) NOME
A investigação está acontecendo.	INVESTIGAÇÃO ACONTECER
Em caso de emergência, ligue 119.	CASO EMERGÊNCIA 119 ELE LIGAR
Em uma emergência, ligue 119.	EMERGÊNCIA 119 ELE LIGAR
Sua filha se tornou uma linda mulher.	MULHER MULHER FILHO LINDO SEU TORNAR
A filha dele se tornou uma linda mulher.	MULHER MULHER FILHO LINDO DELE TORNAR
O que a fez ficar com tanta raiva?	{O TANTO A RAIVA FICAR FAZER}(q)
Todos os seus segredos foram revelados.	SEGREDOS TODO SEU REVELAR
Todos os segredos deles foram revelados.	TODO SEGREDOS ELES REVELAR
Todos os segredos delas foram revelados.	TODO SEGREDOS ELAS REVELAR
Todos os esforços delas foram em vão.	TODO ESFORÇOS ELAS IR IR
Todos os esforços deles foram em vão.	TODO ESFORÇOS ELES IR IR
Todos os seus esforços foram em vão.	ESFORÇOS TODO SEU IR IR
Os soldados estão acostumados com o perigo.	SOLDADOS ACOSTUMAR PERIGO
Os soldados estão acostumados ao perigo.	SOLDADOS ACOSTUMAR PERIGO
Ela se casou de novo por volta dos 45 anos.	NOVO VOLTA 45 ANO ELE CASAR
Ela casou com um homem rico.	RICO HOMEM ELE CASAR
Junho passado Yumiko se casou com um amigo de infância.	DT(Y-U-M-I-K-O) JUNHO AMIGO INFÂNCIA PASSADO CASAR
Nós conseguimos atravessar o rio a nado.	NÓS RIO NADO ATRAVESSAR CONSEGUIR
Nós conseguimos cruzar o rio nadando.	NÓS RIO NADAR CRUZAR CONSEGUIR
Nós conseguimos fazê-lo entender.	NÓS FAZER FAZER ENTENDER CONSEGUIR
Ela mora em uma casa enorme.	ENORME CASA ELE MORAR
Meu irmão mora num pequeno vilarejo.	PEQUENO IRMÃO VILAREJO MEU MORAR
Ele conseguiu juntar as duas pontas.	ELE 2 PONTA JUNTAR CONSEGUIR
Eu consegui chegar lá a tempo.	LÁ EU TEMPO CHEGAR CONSEGUIR
Eu coloquei o dinheiro no cofre.	EU DINHEIRO COFRE COLOCAR
Ele é um dos meus vizinhos.	ELE VIZINHOS MEU
Nunca estou em casa aos domingos.	CASA DOMINGOS NUNCA NÃO
Nunca fico em casa no domingo.	CASA DOMINGO EU FICAR NUNCA NÃO
Ela está tendo progresso no seu inglês.	PROGRESSO INGLÊS SEU TER
Me desculpe por eu ter sido tão rude.	TÃO EU EU RUDE
Nem sempre estou em casa aos domingos.	NEM SEMPRE CASA DOMINGOS
Não é sempre que fico em casa no domingo.	SEMPRE QUE CASA DOMINGO ELE NÃO ESTAR CERTO (NÃO)
Ele está fazendo um grande progresso no inglês.	GRANDE ELE PROGRESSO INGLÊS FAZER
Eu prefiro trabalhar a não fazer nada.	EU NADA TRABALHAR PREFERIR FAZER (NÃO)
Eu acho melhor trabalhar do que ficar sem fazer nada.	DO QUE EU MELHOR NADA TRABALHAR FICAR FAZER ACHAR
Ken arruma sua própria cama toda manhã.	PRÓPRIO DT(K-E-N) SEU TODO MANHÃ CAMA ARRUMAR
Eu não estou acostumado a esse tipo de tratamento.	EU ESSE TIPO ACOSTUMAR TRATAMENTO (NÃO)
Não estou acostumado a ser tratado dessa maneira.	ACOSTUMAR MANEIRA TRATAR (NÃO)
Estou muito preocupado com meu peso.	MEU PREOCUPAR PESO
Tom ligou o motor.	DT(T-O-M) MOTOR LIGAR
Ele abriu o envelope.	ELE ENVELOPE ABRIR
Ele utiliza bem seu tempo.	BEM ELE SEU TEMPO UTILIZAR
Nós transformamos leite em queijo e manteiga.	NÓS QUEIJO LEITE MANTEIGA TRANSFORMAR
Posso falar com você por um minuto?	{VOCÊ MINUTO FALAR PODER}(q)
Você faz eu me sentir tão culpado.	TÃO VOCÊ EU EU SENTIR CULPAR FAZER
Um elefante tem um nariz longo.	LONGO ELEFANTE NARIZ TER
Ela manteve o segredo para si.	SEGREDO SI MANTER
Dez casas foram destruídas pelo fogo.	CASA 0 FOGO
Eu me formei em filosofia na minha universidade.	EU FILOSOFIA MEU EU UNIVERSIDADE FORMAR
Estou com uma terrível dor de cabeça.	DOR TERRÍVEL CABEÇA
Estarei aí em um minuto.	AÍ MINUTO
Já, já estarei aí.	JÁ JÁ AÍ
Logo estarei aí.	LOGO AÍ
Já estou chegando.	JÁ CHEGAR
Elas nos fizeram trabalhar por toda a noite.	ELAS NÓS NOITE TODA A TRABALHAR FAZER
Eles nos fizeram trabalhar a noite inteira.	ELES NÓS INTEIRO NOITE TRABALHAR FAZER
Estou procurando um senhor.	SENHOR PROCURAR
Estou procurando um homem velho.	VELHO HOMEM PROCURAR
Eu corri o mais rápido possível.	POSSÍVEL EU RÁPIDO MAIS CORRER
Eu corri o mais rápido que podia.	MAIS EU RÁPIDO CORRER PODER
Nós estudamos na mesma escola.	MESMA NÓS ESCOLA ESTUDAR
Vamos à mesma escola.	MESMA ESCOLA NÓS IR
O professor nos fez repetir a palavra.	PROFESSOR NÓS PALAVRA REPETIR FAZER
A professora nos fez repetir a palavra.	MULHER PROFESSOR NÓS PALAVRA REPETIR FAZER
Eles fizeram as pazes e viraram amigos de novo.	ELES MULHER PAZ FAZER NOVO AMIGO ELES VIRAR
Eu gosto mais de vinho tinto do que de vinho branco.	TINTO BRANCO EU VINHO DO QUE VINHO MAIS GOSTAR
Eu prefiro vinho tinto ao branco.	TINTO EU VINHO BRANCO PREFERIR
Eles abriram caminho pela multidão.	ELES CAMINHO MULTIDÃO ABRIR
Eles foram abrindo caminho pelo meio da multidão.	ELES CAMINHO MEIO MULTIDÃO ABRIR
Hoje está mais nublado do que ontem.	HOJE MAIS ONTEM DO QUE
Há mais nuvens hoje do que ontem.	HOJE MULHER NUVEM MAIS DO QUE ONTEM HAVER
Ela cometeu o mesmo erro de antes.	MESMO ERRO ANTES ELE COMETER
Nós vamos para a escola de ônibus.	NÓS ESCOLA ÔNIBUS IR
Ela cometeu o mesmo erro de novo.	MESMO ERRO NOVO ELE COMETER
Ela fez a mesma besteira outra vez.	OUTRA VEZ MESMA BESTEIRA ELE FAZER
Estou muito ocupado para ajudá-lo.	OCUPAR AJUDAR
Eu estou muito atarefado para dar uma ajuda a ele.	EU AJUDA ATAREFAR DAR DELE
Eu tive uma pequena febre de manhã.	PEQUENO EU FEBRE MANHÃ TER
Nós aproveitamos o máximo a oportunidade.	NÓS O MÁXIMO OPORTUNIDADE APROVEITAR
Você quer ovos mexidos?	{VOCÊ OVOS QUERER MEXER}(q)
Eu nunca vi uma baleia viva.	VIVO EU BALEIA VER NUNCA NÃO
Uma corrente elétrica pode gerar magnetismo.	CORRENTE MAGNETISMO GERAR PODER
Você vai para escola, não é?	{VOCÊ ESCOLA IR}(q)
Você frequenta a escola, não é?	{VOCÊ ESCOLA FREQUENTAR}(q)
Nós fizemos estátuas de madeira.	NÓS ESTÁTUAS MADEIRA FAZER
Nós esculpimos estátuas de madeira.	NÓS ESTÁTUAS MADEIRA ESCULPIR
Tom errou algumas coisas na prova.	DT(T-O-M) ALGUM COISA PROVA ERRAR
Estou cansado de ficar traduzindo.	CANSAR FICAR TRADUZIR
Há uma agência dos correios aqui perto?	{AQUI CORREIOS PERTO AGÊNCIA HAVER}(q)
Eu temo que sim.	SIM EU TEMER
Eu dou aulas de inglês para o segundo ano.	DOIS EU AULAS INGLÊS ANO DAR
Com qual frequência você esteve lá?	LÁ FREQUÊNCIA VOCÊ QUAL (NÃO)
Você gostaria de algo para beber?	{VOCÊ ALGO GOSTAR BEBER}(q)
Ele também estuda chinês.	TAMBÉM ELE CHINÊS ESTUDAR
Um muitíssimo obrigado pela sua gentileza.	GENTILEZA OBRIGADO SEU
Obrigado pela refeição deliciosa.	DELICIOSO REFEIÇÃO
Eu só o vi uma vez.	UMA VEZ EU SÓ O VER
O casamento não é um assunto que interesse aos jovens.	ASSUNTO CASAMENTO JOVENS INTERESSAR (NÃO)
Enquanto eu estava voltando para casa eu o vi, mas ele fingiu que não me viu.	ENQUANTO CASA EU EU O VOLTAR MAS ELE EU VER FINGIR (NÃO)
Minha conta no Twitter está suspensa por causa de spam.	MEU CONTA SUSPENSO SPAM TWITTER
Saia e respire um pouco de ar fresco em vez de ficar vendo TV.	ELE SAIR RESPIRAR UM POUCO AR VER TV VER FICAR
Sinto por você.	VOCÊ SENTIR
Ela está se misturando com as pessoas erradas.	PESSOA MISTURAR ERRAR
Eu comprei semana passada.	EU SEMANA PASSADO PASSADO
Trabalhei o dia inteiro, por isso estou muito cansado.	INTEIRO EU TRABALHAR DIA ISSO CANSAR
Ele quer copos vermelhos.	VERMELHOS ELE COPOS QUERER
Ele precisa de uma toalha.	ELE TOALHA PRECISAR
Abençoado é aquele que encontrou o seu trabalho.	ABENÇOAR AQUELE TRABALHO SEU ENCONTRAR
Pegarei ele na estação.	ELE ESTAÇÃO PEGAR
Não estamos com pouco petróleo nesse país.	POUCO ESSE PETRÓLEO PAÍS (NÃO)
Ele mordeu mais do que podia mastigar.	ELE MAIS DO QUE PODER MASTIGAR MORDER
Ele me escreveu uma longa carta.	LONGO ELE EU CARTA ESCREVER
Meu relógio é menos caro do que o seu.	RELÓGIO CARO MEU SEU DO QUE
Nunca conte uma mentira para mim de novo.	MENTIRA EU NUNCA NÃO
Procure a frase no seu dicionário.	FRASE DICIONÁRIO SEU ELE PROCURAR
Eu temo não ser capaz de ajudar você.	EU TEMER CAPAZ VOCÊ AJUDAR (NÃO)
O que devo comer?	{O COMER DEVER}(q)
Enquanto cochilava tive um sonho estranho.	ENQUANTO ESTRANHO ELE COCHILAR SONHO TER
Quando um não quer, dois não brigam.	QUANDO 2
Corri da chuva pra não me molhar.	CHUVA EU MOLHAR CORRER (NÃO)
Dias atrás estava em outro lugar.	ATRÁS DIAS OUTRO LUGAR
Ted ama sua esposa Elizabeth.	MULHER ESPOSO DT(T-E-D) DT(E-L-I-Z-A-B-E-T-H) SEU AMAR
Ela não aceitou o convite.	CONVITE ELE ACEITAR (NÃO)
O egoísmo dele me enerva.	EGOÍSMO EU DELE ENERVAR
Que horas você costuma ir se deitar?	{VOCÊ HORAS DEITAR COSTUMAR}(q)
A quem você deu isso?	VOCÊ ISSO DAR QUEM (NÃO)
Qual é?	QUAL
O livro mais importante para aprender um idioma é, naturalmente, um dicionário.	NATURAL LIVRO IDIOMA MAIS APRENDER DICIONÁRIO
Odeio meu vizinho.	VIZINHO MEU EU ODIAR
Ele foi levado inconsciente até o hospital.	ELE INCONSCIENTE HOSPITAL LEVAR
O que pensa que aconteceu aqui?	{AQUI QUE O PENSAR}(q)
Você me faz sentir tão culpado.	TÃO VOCÊ EU SENTIR CULPAR FAZER
Eu expliquei a regra a ele.	EU REGRA DELE EXPLICAR
Não faço ideia.	IDEIA EU FAZER (NÃO)
Não tenho ideia.	IDEIA EU NÃO_TER {NÃO}(headshake)
Clark Kent é o herói das histórias do Super Homem.	DT(C-L-A-R-K) DT(K-E-N-T) HISTÓRIA HERÓI SUPER HOMEM
Helicópteros de resgate levam pessoas muito doentes para os hospitais.	DOENTES HELICÓPTEROS PESSOA RESGATE HOSPITAIS LEVAR
Todo menino pequeno precisa de um herói.	PEQUENO TODO MENINO HERÓI PRECISAR
As nuvens esconderam o sol por um tempo.	MULHER NUVEM TEMPO ESCONDER
Tom escondeu suas preocupações da mulher dele.	DT(T-O-M) MULHER PREOCUPAÇÃO MULHER SEU DELE ESCONDER
Por que ele está se escondendo debaixo da mesa?	{DEBAIXO ELE MESA ESCONDER}(q)
Algumas pessoas sonham em ter uma casa numa colina.	PESSOA ALGUM CASA COLINA TER ELES SONHAR
É um ótimo exercício subir morros.	ÓTIMO EXERCÍCIO SUBIR MORROS
Tom cria cavalos árabes.	DT(T-O-M) CRER ÁRABES CAVALOS
E aí?	{AÍ}(q)
Nunca mais conte uma mentira para mim.	MENTIRA MAIS EU NUNCA NÃO
Nunca mais minta para mim.	MAIS EU MENTIR NUNCA NÃO
Eu lamento informá-la que sua matrícula foi negada.	MATRÍCULA EU SEU NEGAR INFORMAR LAMENTAR
Qual é o lugar mais bonito do mundo?	LUGAR BONITO MUNDO MAIS QUAL (NÃO)
Os fabricantes de alimentos semiprontos gostam de dar aos consumidores a ilusão de que eles estão cozinhando sua própria comida.	FABRICANTES ELES ALIMENTOS ILUSÃO COMIDA CONSUMIDORES PRÓPRIO SEU DAR GOSTAR COZINHAR
Eu falo interlíngua.	INTERLÍNGUA EU FALAR
Meu tio tem três filhos.	TIO MEU 3 FILHO TER
Não alimente os animais!	ANIMAL ELE ALIMENTAR (NÃO)
O Japão foi um dos principais beneficiários do sistema de livre comércio adotado pelo GATT.	JAPÃO SISTEMA BENEFICIÁRIOS COMÉRCIO GATT ADOTAR
Posso provar esse vestido?	{ESSE VESTIDO PROVAR EU PODER}(q)
Com a chegada do inverno, os dias vão ficando cada vez mais curtos.	CADA VEZ MAIS CURTOS DIA CHEGADA INVERNO FICAR
Eu dei o dinheiro para ele.	EU DINHEIRO DELE DAR
Por que não podemos fazer cócegas um no outro?	{CÓCEGA 1 OUTRO FAZER NÓS PODER NÃO}(q)
Ela vem me visitar de vez em quando.	QUANDO EU VEZ VISITAR VIR
No Havaí dá para tomar banho de mar o ano todo.	TODO HAVAÍ TOMAR BANHO MAR ANO DAR
Abre o coração e me conta tudo.	CORAÇÃO ELE ABRIR TUDO EU CONTAR
O que quer dizer essa placa?	{QUER DIZER ESSE O PLACA}(q)
Os moradores vizinhos ao aeroporto lutam por um redução dos serviços aéreos.	VIZINHOS AÉREOS MORADORES AEROPORTO REDUÇÃO SERVIÇOS LUTAR
Esse livro é meu.	LIVRO ESSE MEU
Meu pai é muito rígido comigo.	PAI MEU RÍGIDO COMIGO
Ela gosta de morango e sua irmã gosta de maçã.	MORANGO ELE GOSTAR SEU MULHER IRMÃO MAÇÃ GOSTAR
Esse microscópio amplia os objetos em cem vezes.	MICROSCÓPIO ESSE OBJETO 100 MULHER VEZ AMPLIAR
Eu não quero arriscar minha vida.	EU MEU ARRISCAR VIDA MEU (NÃO)
Ele foi um grande músico.	ELE GRANDE MÚSICO IR
Você já foi para Veneza?	{JÁ VOCÊ VENEZA IR}(q)
Fumar não é um hábito, e sim um vício.	SIM FUMAR HÁBITO VÍCIO (NÃO)
Eu nunca ouvi uma história tão triste assim.	ASSIM EU HISTÓRIA TÃO TRISTE OUVIR NUNCA NÃO
Pai, por que no inverno não tem trovão?	PAI TROVÃO INVERNO NÃO_TER (NÃO)
A Muralha da China tem mais de 5500 milhas de comprimento.	MURALHA DA CHINA MILHA MAIS 5500 COMPRIMENTO TER
Você é um garoto legal.	VOCÊ LEGAL GAROTO
Toda vez que ela o trai, ele se mune de uma vassoura e sai limpando a casa inteira, até ela ficar mais limpa que os dentes do dentista.	TODO O TRAIR ELE VASSOURA MUNIR QUE DENTES CASA FICAR LIMPO DENTISTA MAIS LIMPAR ELE SAIR
Quando você volta?	VOCÊ VOLTA QUANDO (NÃO)
A Kate deve estar doente, pois ela parece pálida.	DT(K-A-T-E) POIS DEVER PÁLIDO DOENTE PARECER
Encontramos um escritor.	ESCRITOR NÓS ENCONTRAR
Isso é perda de tempo.	ISSO PERDA TEMPO
Minha irmã geralmente cuida do bebê.	GERAL MEU MULHER IRMÃO BEBER CUIDAR
Sua resposta foi negativa.	SEU RESPOSTA NEGATIVO IR
Fabre escreveu livros sobre insetos.	DT(F-A-B-R-E) LIVRO INSETOS ESCREVER
As frases podem nos ensinar muita coisa, bem mais do que palavras soltas.	BEM FRASES MUITA COISA MAIS PALAVRAS SOLTAS ENSINAR PODER
Você fez as tarefas?	{VOCÊ TAREFAS FAZER}(q)
Os meus filhos adoram animais.	FILHOS ANIMAL MEU ADORAR
Volta para casa antes das seis.	ANTES 6 VOLTA CASA
Finalmente nos encontramos. Eu esperei tanto por esse dia.	FINAL NÓS ENCONTRAR EU ESSE DIA TANTO ESPERAR
Eu escovo os dentes depois de comer.	EU DENTES ESCOVAR DEPOIS COMER
Quem não conhece línguas estrangeiras não sabe nada sobre sua própria língua.	ESTRANGEIRAS PRÓPRIO SEU LÍNGUAS NADA LÍNGUA NÃO_SABER CONHECER {NÃO}(headshake)
O satélite deu dez voltas ao redor da Terra.	SATÉLITE VOLTA 10 REDOR TERRA DAR
Ela foi para os Estados Unidos estudar medicina.	ESTADOS UNIDOS ESTUDAR MEDICINA IR
Nesse auditório cabem duas mil pessoas.	ESSE AUDITÓRIO 1000 PESSOA ELES CABER
Os trens estão com atraso.	TRENS ATRASO
O Tom sabe nadar bem.	BEM DT(T-O-M) NADAR SABER
Guarde o dinheiro em um lugar seguro.	SEGURO DINHEIRO LUGAR ELE GUARDAR
O meu avô está com 90 anos e com muita saúde.	AVÔ MEU MUITA 90 ANO SAÚDE ESTAR
Ela sempre ficava ao meu lado.	SEMPRE MEU LADO ELE FICAR
Ele perdeu o hábito de fumar.	ELE HÁBITO PERDER FUMAR
Ele foi sozinho pro exterior.	ELE SÓ PRO EXTERIOR IR
Eu tenho um cachorro.	EU CACHORRO TER
A senhorita Meier é muito bonita.	DT(M-E-I-E-R) SENHOR PEQUENO BONITO
Minha mãe não vai poder vir.	MÃE MEU VIR PODER (NÃO)
Eu assisto TV duas vezes por semana.	EU 2 TV MULHER VEZ SEMANA ASSISTIR
Que horas você pode vir?	{VOCÊ VIR PODER}(q)
Quem é essa menina?	ESSE MULHER MENINO QUEM (NÃO)
Ele me contou uma história triste.	TRISTE ELE HISTÓRIA EU CONTAR
Ele acenou com a cabeça para mim.	ELE CABEÇA EU ACENAR
A nata é um líquido branco, levemente amarelado, composto de proteínas concentradas e gordura.	LEVE NATA LÍQUIDO PROTEÍNAS GORDURA COMPOR AMARELAR CONCENTRAR
Eu nasci em 1977 em Osaka.	EU 1977 OSAKA NASCER
Manda um oi pro seu pai por mim.	ELE MANDAR SEU OI PRO PAI EU
Eu quero que ele vá.	EU ELE IR QUERER
Quantas bolsas você tem?	BOLSAS VOCÊ TER QUANTAS (NÃO)
Tem alguém atrás da parede.	ATRÁS PAREDE ELE TER
Não é exagero chamá-lo de gênio.	EXAGERO NOME GÊNIO (NÃO)
Você fala alemão?	{VOCÊ ALEMÃO FALAR}(q)
Me manda uma foto sua, por favor.	SEU FOTO EU FAVOR MANDAR
Ele vem a cada cinco dias.	ELE CADA DIA 5 VIR
Apesar da sua riqueza, ele não é feliz.	APESAR SEU ELE FELIZ (NÃO)
Eu comprei uma garrafa de cerveja na loja de bebidas.	EU CERVEJA GARRAFA LOJA BEBIDAS COMPRAR
Você que sabe.	VOCÊ SABER
Eu encontrei por acaso o meu velho amigo na estação de Tóquio.	ACASO VELHO EU ESTAÇÃO MEU AMIGO TÓQUIO ENCONTRAR
Parece que ela estava doente.	DOENTE PARECER
No nosso país, o interesse por beisebol se estende por todas as camadas sociais e faixas etárias.	SOCIAIS ETÁRIAS INTERESSE TODAS AS BEISEBOL PAÍS CAMADAS FAIXAS NOSSO ESTENDER
Por favor, ache uma solução para esse problema.	ESSE SOLUÇÃO PROBLEMA EU ACHAR
Estão todos prontos?	{TODO PRONTOS}(q)
Quando o senhor Suzuki saiu do Japão?	SENHOR DT(S-U-Z-U-K-I) JAPÃO SAIR QUANDO (NÃO)
Chega!	TU CHEGAR
Por favor, pergunta se eles têm esse livro na biblioteca.	ELES ESSE FAVOR PERGUNTAR LIVRO BIBLIOTECA TER
Eu tenho mil dólares em traveler checks e quinhentos em dinheiro.	EU TRAVELER 1000 DÓLAR 500 CHECKS DINHEIRO TER
Ele foi multado por estacionar em local proibido.	ELE LOCAL ESTACIONAR MULTAR PROIBIR
Eu estudei inglês por quatro anos.	EU INGLÊS 4 ANO ESTUDAR
Vocês têm atum?	{VOCÊS ATUM TER}(q)
O que aconteceu com você ontem?	{ONTEM O VOCÊ ACONTECER}(q)
Sua perna machucada começou a sangrar de novo.	NOVO MACHUCAR SEU SANGRAR COMEÇAR
Você pode me ligar hoje à noite, por favor?	{HOJE VOCÊ NOITE FAVOR EU LIGAR PODER}(q)
Preencha as lacunas com as palavras corretas.	LACUNAS PALAVRAS TU CORRETAR PREENCHER
O que mais me surpreendeu quando eu fui pro Japão foi a quantidade de vending machines que tem lá.	MAIS O EU SURPREENDER QUANDO LÁ MACHINES EU PRO QUANTIDADE JAPÃO VENDING IR IR TER
O que você tem?	{O VOCÊ TER}(q)
A Lua gira em volta da Terra.	LUA VOLTA TERRA GIRAR
Ele deveria pedir ajuda ao Peter?	{ELE AJUDA DT(P-E-T-E-R) PEDIR DEVER}(q)
A aula começa às nove horas todo dia.	AULA TODO 9 HORA DIA COMEÇAR
Ele foi para Londres estudar inglês.	ELE LONDRES INGLÊS ESTUDAR IR
Ele me explicou a regra.	ELE EU REGRA EXPLICAR
É provável que o nosso time ganhe o jogo.	PROVÁVEL TIME NOSSO GANHAR JOGO
Ela tem muitos amigos.	AMIGO MUITOS ELE TER
Ela estava arrancando ervas daninhas no jardim.	ERVAS DANINHAS JARDIM ARRANCAR
Enquanto fumava um grosso charuto, ele contava sobre a Groenlândia.	ENQUANTO GROSSO ELE CHARUTO FUMAR GROENLÂNDIA CONTAR
A que altura você consegue pular?	{VOCÊ A PULAR CONSEGUIR}(q)
O sol que nascia espantou a neblina.	NEBLINA NASCER ESPANTAR
Eu sempre tomo banho antes de dormir.	ANTES EU BANHO SEMPRE DORMIR TOMAR
Nem eu.	NEM EU
Ela morreu aos 54 anos de idade.	ANO 54 IDADE ELE MORRER
Eu não acho nem um pouco que você esteja errado.	EU ACHAR NÃO NEM UM POUCO VOCÊ ERRAR (NÃO)
Não estou entendendo nada (d)o que o estrangeiro está dizendo.	ESTRANGEIRO NADA ENTENDER DIZER (NÃO)
Devido a problemas técnicos, foi exibido um filme em vez do programa previsto.	PROBLEMA FILME PROGRAMA EXIBIR PREVER
Você é malcriado.	VOCÊ MALCRIADO
Ele estava procurando alguma coisa no escuro.	ELE ALGUM ESCURO COISA PROCURAR
O pajem vai levá-lo até o seu quarto.	PAJEM QUARTO SEU LEVAR
Ele estava orgulhoso do seu autocontrole.	ELE ORGULHOSO AUTOCONTROLE SEU
Tom gosta de curry picante.	DT(T-O-M) PICANTE CURRY GOSTAR
Talvez ele tenha visto.	TALVEZ ELE VER
Meu irmão mora em Tóquio.	IRMÃO MORA TÓQUIO MEU
Nós assistimos o filme e depois jantamos juntos.	NÓS FILME ASSISTIR DEPOIS JUNTOS NÓS JANTAR
Ele negou saber qualquer coisa sobre aquilo.	ELE QUALQUER COISA AQUILO SABER NEGAR
Madre Teresa utilizou o dinheiro do prêmio no seu trabalho na Índia e no mundo inteiro.	INTEIRO MADRE DT(T-E-R-E-S-A) DINHEIRO TRABALHO PRÊMIO ÍNDIA MUNDO SEU UTILIZAR
O escritor mora numa cabana de madeira.	ESCRITOR MORA CABANA MADEIRA
Estou satisfeito com o meu salário atual.	ATUAL MEU SATISFAZER SALÁRIO
A Rainha Elizabeth faleceu no ano de 1603.	RAINHA DT(E-L-I-Z-A-B-E-T-H) ANO 1603 FALECER
Hoje à tarde eu vou jogar tênis.	HOJE EU TARDE TÊNIS JOGAR
Não se esqueça da morte.	MORTE ELE ESQUECER (NÃO)
Pegaram ele fumando no banheiro.	ELE FUMAR BANHEIRO PEGAR
Ela me disse que queria ter um cachorro de estimação.	CACHORRO EU QUERER ESTIMAÇÃO TER DIZER
Sempre estamos expostos a algum tipo de perigo.	SEMPRE ALGUM TIPO EXPOR PERIGO
Cada um tem o seu gosto.	CADA UM GOSTO SEU TER
Sobrou pouca água.	ÁGUA POUCO ELE SOBRAR
Por favor, entre.	FAVOR
